book_filename,pipeline_type,status,started_at,completed_at,output_folder,error_message,relevancy_target
10A005 - C++ Software Design - Klaus Iglberger.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 12:50:05,,flashcards,,C++ design patterns and best practices
10A006 - Java Cookbook - Ian F. Darwin.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 14:41:53,2025-10-27 16:41:53,flashcards,Pipeline execution failed,Java programming techniques and practical solutions
10A007 - Effective TypeScript - Dan Vanderkam.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 16:41:53,2025-10-27 14:37:08,flashcards,Pipeline execution failed,TypeScript best practices and type system techniques
10A008 - Computational Physics - Rubin H_ Landau.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 01:20:34,2025-11-03 03:09:37,flashcards,Pipeline execution failed,Computational physics methods and numerical algorithms
2B005 - Streaming Systems.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-27 18:21:38,2025-10-27 19:56:12,flashcards,Pipeline execution failed,Stream processing concepts and real-time data techniques
7A003- Performance modeling and design of computer systems.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-02 13:29:30,2025-11-02 15:54:12,flashcards,Pipeline execution failed,Performance modeling techniques and queueing theory
"7F001 Systems Performance Modeling (Issn, 4) -- Adarsh Anand (editor), Mangey.pdf",ONLYFLASHCARDS,COMPLETED,2025-11-02 15:54:12,2025-11-02 16:46:13,flashcards,Pipeline execution failed,Systems performance modeling and analysis techniques
"Designing data-intensive applications_ the big ideas behind reliable, scalable.pdf",ONLYFLASHCARDS,COMPLETED,2025-11-02 16:46:13,2025-11-02 18:44:17,flashcards,Pipeline execution failed,Data system design patterns and distributed architecture concepts
Concurrency in .NET_ Modern patterns of concurrent and parallel programming. - Riccardo Terrell.pdf,ONLYFLASHCARDS,ERROR,2025-10-28 22:15:03,2025-10-28 22:15:15,flashcards,Pipeline execution failed,.NET concurrency patterns and parallel programming techniques
Game Engine Architecture.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 03:09:38,2025-11-03 05:16:09,flashcards,Pipeline timed out - partial results may exist,Game engine design patterns and real-time systems programming
Operating Systems_ Three Easy Pieces.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 05:16:09,2025-11-03 06:46:59,flashcards,Pipeline timed out - partial results may exist,Operating system concepts and low-level programming techniques
Pro ASP.NET Core 7.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 06:46:59,2025-11-03 08:18:39,flashcards,Pipeline execution failed,ASP.NET Core development patterns and web architecture
Materials Science and Engineering An Introduction.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-30 01:04:50,2025-10-29 05:48:34,flashcards,Pipeline execution failed,Materials science concepts and engineering principles
2A001 - AI Engineering_ Building Applications with Foundation Models-O'Reilly Media (2025)Chip Huyen -.pdf,ONLYFLASHCARDS,ERROR,2025-11-03 08:18:39,2025-11-03 08:18:39,flashcards,Pipeline execution failed,AI engineering practices and foundation model implementation
"2A003 - Generative Deep Learning_ Teaching Machines To Paint, Write, Compose, and Play-O'Reilly Media (2023)David Foster -.pdf",ONLYFLASHCARDS,ERROR,2025-11-03 08:18:39,2025-11-03 08:18:40,flashcards,Pipeline execution failed,Generative AI models and creative deep learning applications
2A005 - Learn Generative AI with PyTorch-Manning (2024) Mark Liu -.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-29 10:27:56,2025-10-29 12:03:53,flashcards,,Generative AI implementation with PyTorch and practical applications
4A001 - The Book of Kubernetes_ A Complete Guide to Container Orchestration-No Starch Press (2022)Alan Hohn -.pdf,ONLYFLASHCARDS,ERROR,2025-11-03 08:18:40,2025-11-03 08:18:40,flashcards,Pipeline execution failed,Kubernetes orchestration and container management techniques
"4A002 - Ansible_ Up and Running_ Automating Configuration Management and Deployment the Easy Way-O'Reilly Media (2022)Bas Meijer, Lorin Hochstein, René Moser -.pdf",ONLYFLASHCARDS,ERROR,2025-11-03 08:18:40,2025-11-03 08:18:40,flashcards,Pipeline execution failed,Ansible automation and configuration management best practices
4A008 - Terraform_ Up and Running_ Writing Infrastructure as Code-O'Reilly Media (2022).pdf,ONLYFLASHCARDS,COMPLETED,2025-10-29 12:20:09,2025-10-29 13:41:10,flashcards,,Infrastructure as Code principles and Terraform implementation techniques
Angie Papple Johnston - ASVAB 2023 _ 2024 For Dummies.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 08:18:40,2025-11-03 19:43:39,flashcards,Pipeline timed out - partial results may exist,Military entrance exam preparation and basic academic knowledge
Business Law_ Text and Cases.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 19:43:39,2025-11-03 21:00:11,flashcards,Pipeline timed out - partial results may exist,Business law principles and legal case analysis
ConcurrencyNetModern.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-29 19:18:24,2025-10-29 21:15:44,flashcards,,.NET concurrency patterns and modern parallel programming techniques
Contract Law For Dummies.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-29 21:15:44,2025-10-29 22:30:11,flashcards,,Contract law fundamentals and legal agreement principles
Parallel and High Performance Computing.pdf,ONLYFLASHCARDS,COMPLETED,2025-10-30 01:26:18,2025-10-30 04:18:17,flashcards,,Parallel computing concepts and high-performance optimization techniques
cpumemory.pdf,ONLYFLASHCARDS,COMPLETED,2025-11-03 21:00:11,2025-11-03 21:58:12,flashcards,,CPU memory optimization techniques and algorithms
